group,n_rows,avg_words,positive,positive_rate,negative,negative_rate,very_short,very_short_rate,has_mention,has_mention_rate,has_hashtag,has_hashtag_rate,has_url,has_url_rate,has_non_ascii,has_non_ascii_rate,has_profanity,has_profanity_rate,has_quote,has_quote_rate
empty,4341,24.023266528449668,1057,0.24349228288412808,3284,0.756507717115872,685,0.15779774245565537,1541,0.35498733010827,365,0.08408200875374337,157,0.03616678184750058,564,0.1299239806496199,109,0.025109421792213777,1401,0.3227366966136835
nonempty,9659,27.145667253338853,7210,0.7464540842737344,2449,0.25354591572626567,826,0.08551609897504918,2938,0.3041722745625841,637,0.06594885598923284,183,0.018946060668806296,1252,0.12962004348276218,1323,0.13697070090071436,3794,0.3927942851226835
