skill,rank,expert,odds,acc,correct,total,top1_expert,top1_odds,top2_expert,top2_odds,top1_top2_gap
age_based_bullying,1,kaggle_bully,3.0910424533583165,0.9646017699115044,109,113,kaggle_bully,3.0910424533583165,dynahate_hate,2.5866893440979433,0.5043531092603732
age_based_bullying,2,dynahate_hate,2.5866893440979433,0.9387755102040817,92,98,kaggle_bully,3.0910424533583165,dynahate_hate,2.5866893440979433,0.5043531092603732
age_based_bullying,3,jigsaw_threat,2.3116349285139637,0.9166666666666666,110,120,kaggle_bully,3.0910424533583165,dynahate_hate,2.5866893440979433,0.5043531092603732
age_based_bullying,4,tweeteval_offense,1.232143681292632,0.7833333333333333,47,60,kaggle_bully,3.0910424533583165,dynahate_hate,2.5866893440979433,0.5043531092603732
appearance_based_bullying,1,kaggle_bully,3.56953269648137,0.9859154929577465,70,71,kaggle_bully,3.56953269648137,dynahate_hate,2.5257286443082556,1.0438040521731144
appearance_based_bullying,2,dynahate_hate,2.5257286443082556,0.9423076923076923,49,52,kaggle_bully,3.56953269648137,dynahate_hate,2.5257286443082556,1.0438040521731144
appearance_based_bullying,3,jigsaw_threat,1.5040773967762744,0.8888888888888888,8,9,kaggle_bully,3.56953269648137,dynahate_hate,2.5257286443082556,1.0438040521731144
appearance_based_bullying,4,tweeteval_offense,0.7621400520468965,0.7,14,20,kaggle_bully,3.56953269648137,dynahate_hate,2.5257286443082556,1.0438040521731144
coded_hostility,1,kaggle_bully,3.8840153804412423,0.9807692307692307,1020,1040,kaggle_bully,3.8840153804412423,jigsaw_threat,2.925962702998867,0.9580526774423754
coded_hostility,2,jigsaw_threat,2.925962702998867,0.9511111111111111,428,450,kaggle_bully,3.8840153804412423,jigsaw_threat,2.925962702998867,0.9580526774423754
coded_hostility,3,dynahate_hate,2.7462019670665856,0.9411764705882353,560,595,kaggle_bully,3.8840153804412423,jigsaw_threat,2.925962702998867,0.9580526774423754
coded_hostility,4,tweeteval_offense,1.1205911953868848,0.7549342105263158,459,608,kaggle_bully,3.8840153804412423,jigsaw_threat,2.925962702998867,0.9580526774423754
dehumanization,1,kaggle_bully,3.6722649212579483,0.975747320924986,1730,1773,kaggle_bully,3.6722649212579483,jigsaw_threat,3.024987631702781,0.6472772895551673
dehumanization,2,jigsaw_threat,3.024987631702781,0.9550072568940493,658,689,kaggle_bully,3.6722649212579483,jigsaw_threat,3.024987631702781,0.6472772895551673
dehumanization,3,dynahate_hate,2.8486321517233995,0.9457083764219235,1829,1934,kaggle_bully,3.6722649212579483,jigsaw_threat,3.024987631702781,0.6472772895551673
dehumanization,4,tweeteval_offense,0.9712414518565726,0.7258403361344538,691,952,kaggle_bully,3.6722649212579483,jigsaw_threat,3.024987631702781,0.6472772895551673
general_insult,1,kaggle_bully,3.6940133121077885,0.9764117226590422,1366,1399,kaggle_bully,3.6940133121077885,jigsaw_threat,3.3381392456950194,0.3558740664127691
general_insult,2,jigsaw_threat,3.3381392456950194,0.9674952198852772,506,523,kaggle_bully,3.6940133121077885,jigsaw_threat,3.3381392456950194,0.3558740664127691
general_insult,3,dynahate_hate,2.7924788807190004,0.9431818181818182,913,968,kaggle_bully,3.6940133121077885,jigsaw_threat,3.3381392456950194,0.3558740664127691
general_insult,4,tweeteval_offense,1.6182875277110833,0.8353808353808354,680,814,kaggle_bully,3.6940133121077885,jigsaw_threat,3.3381392456950194,0.3558740664127691
identity_based_bullying,1,kaggle_bully,3.895415269028486,0.981198589894242,835,851,kaggle_bully,3.895415269028486,jigsaw_threat,3.1039458581942245,0.7914694108342615
identity_based_bullying,2,jigsaw_threat,3.1039458581942245,0.9627329192546584,155,161,kaggle_bully,3.895415269028486,jigsaw_threat,3.1039458581942245,0.7914694108342615
identity_based_bullying,3,dynahate_hate,3.0726933146901203,0.9577777777777777,431,450,kaggle_bully,3.895415269028486,jigsaw_threat,3.1039458581942245,0.7914694108342615
identity_based_bullying,4,tweeteval_offense,0.9942522733438669,0.7333333333333333,99,135,kaggle_bully,3.895415269028486,jigsaw_threat,3.1039458581942245,0.7914694108342615
identity_targeting,1,kaggle_bully,3.9443518925435046,0.9816576086956522,1445,1472,kaggle_bully,3.9443518925435046,jigsaw_threat,2.907583886777285,1.0367680057662194
identity_targeting,2,jigsaw_threat,2.907583886777285,0.9496753246753247,585,616,kaggle_bully,3.9443518925435046,jigsaw_threat,2.907583886777285,1.0367680057662194
identity_targeting,3,dynahate_hate,2.867450236815613,0.9468462083628633,1336,1411,kaggle_bully,3.9443518925435046,jigsaw_threat,2.907583886777285,1.0367680057662194
identity_targeting,4,tweeteval_offense,0.9409833444645266,0.7199413489736071,491,682,kaggle_bully,3.9443518925435046,jigsaw_threat,2.907583886777285,1.0367680057662194
non_targeted_profanity,1,kaggle_bully,3.665696118658279,0.9770354906054279,468,479,kaggle_bully,3.665696118658279,dynahate_hate,3.0385522707369192,0.6271438479213596
non_targeted_profanity,2,dynahate_hate,3.0385522707369192,0.9568965517241379,333,348,kaggle_bully,3.665696118658279,dynahate_hate,3.0385522707369192,0.6271438479213596
non_targeted_profanity,3,tweeteval_offense,2.425483229317199,0.9240506329113924,146,158,kaggle_bully,3.665696118658279,dynahate_hate,3.0385522707369192,0.6271438479213596
non_targeted_profanity,4,jigsaw_threat,2.1594842493533726,0.9259259259259259,25,27,kaggle_bully,3.665696118658279,dynahate_hate,3.0385522707369192,0.6271438479213596
sexual_harassment,1,kaggle_bully,4.955827057601263,1.0,141,141,kaggle_bully,4.955827057601263,jigsaw_threat,1.9924301646902063,2.9633968929110566
sexual_harassment,2,jigsaw_threat,1.9924301646902063,0.9130434782608695,21,23,kaggle_bully,4.955827057601263,jigsaw_threat,1.9924301646902063,2.9633968929110566
sexual_harassment,3,dynahate_hate,1.916922612182061,0.8918918918918919,33,37,kaggle_bully,4.955827057601263,jigsaw_threat,1.9924301646902063,2.9633968929110566
sexual_harassment,4,tweeteval_offense,0.9808292530117263,0.75,15,20,kaggle_bully,4.955827057601263,jigsaw_threat,1.9924301646902063,2.9633968929110566
stereotype_invocation,1,kaggle_bully,4.214075018162882,0.9861751152073732,1284,1302,kaggle_bully,4.214075018162882,dynahate_hate,2.858496549365716,1.355578468797166
stereotype_invocation,2,dynahate_hate,2.858496549365716,0.9463258785942492,1481,1565,kaggle_bully,4.214075018162882,dynahate_hate,2.858496549365716,1.355578468797166
stereotype_invocation,3,jigsaw_threat,2.611906340549308,0.9340974212034384,326,349,kaggle_bully,4.214075018162882,dynahate_hate,2.858496549365716,1.355578468797166
stereotype_invocation,4,tweeteval_offense,0.8928604800657691,0.7101226993865031,463,652,kaggle_bully,4.214075018162882,dynahate_hate,2.858496549365716,1.355578468797166
